Name,Category,Latitude,Longitude,Price,Zipcode
Bonnie's,Cantonese,40.71783,-73.94651,,
Eyval,Persian/Iranian,40.70413,-73.93309,,
Watermark,Lounges,40.7043789539783,-74.0029934983643,$$,10038
Traif,American (New),40.710658,-73.958872,$$$$,11211
KJUN,Korean,40.74897,-73.97633,,
53 NYC,Asian Fusion,40.76179318437133,-73.9780863,,
Fatta Mano,Italian,40.62417577577335,-74.03055868559568,,
Bohemian Restaurant,Japanese,40.72639,-73.99236,$$$,10012
1803 Nyc,Cajun/Creole,40.715498,-74.007178,$$,10007
A-Pou's Taste,Taiwanese,40.71326,-73.93616,$,11211
Aoi Kitchen,Izakaya,40.72683167,-73.98754333,$$,10003
Madre,American (New),40.73311,-73.95798,$$$,11222
Okonomi,Japanese,40.712622,-73.9487843,$$,11211
Emily - West Village,Pizza,40.729375015649076,-74.00386306706551,$$,10014
Betty,American (New),40.71367,-73.98785,,
Les Enfants de Boheme,French,40.7136187,-73.9888503,$$,10002
OTB,American (New),40.710484,-73.963408,$$,11211
Momoya SoHo,Sushi Bars,40.72349,-73.99579,,
Landhaus,Sandwiches,40.7043648,-73.9933243,,
The Bao,Shanghainese,40.72939,-73.9889199,$$,10003
Kabisera,Filipino,40.71897,-74.00102,,
& Sons,Wine Bars,40.66161,-73.95348,,
Le Crocodile,French,40.72191,-73.957873,,
La Pecora Bianca,Mediterranean,40.72346,-73.9963118,,
Tanner Smiths,Cocktail Bars,40.76442,-73.98169,$$,10019
Barbalu - Brooklyn,Italian,40.68675727907743,-73.99101547782092,,
Cafe Mogador,Moroccan,40.727258767439,-73.9845085144043,$$,10009
La Lanterna Di Vittorio,Italian,40.73069,-74.00015,$$,10012
OBAO,Vietnamese,40.7606544,-73.991332,$$,10036
Gersi,Italian,40.683438,-73.995711,$$,11231
Rosie's,Mexican,40.72492,-73.99079,$$,10003
James Provisions,American (New),40.678984,-73.971489,$$$,11238
Wan Wan,Thai,40.7218,-73.99643,,
Maison Kintaro,Japanese,40.74746583338948,-74.00104785354299,,
Thai Diner,Thai,40.72071042964739,-73.9956057,$$,10012
Industry Kitchen,American (Traditional),40.7049434740873,-74.0048825740814,$$,10005
Tradisyon,Filipino,40.76491,-73.987537,$$,10019
nonono,Izakaya,40.74545,-73.98499,$$$,10016
Five Senses,Korean,40.747573158626,-73.9863122632311,$$,10001
Tara Rose,Cocktail Bars,40.74179566099217,-73.9812332883433,$$,10016
Fan Fried Rice Bar,Taiwanese,40.71267,-73.96082,,
Recette,French,40.71326399774355,-73.95637202012806,,
Tito Papas,Filipino,40.71739992771893,-73.9493112,,
Kaoru,Japanese,40.75202,-73.96977,$$,10017
C as in Charlie,Korean,40.72545,-73.99269,,
Lindens,American (New),40.72418,-74.00837,,
Silky Kitchen,Chinese,40.73297,-73.98829,$$,10003
Cathédrale Restaurant,French,40.731616260076336,-73.98947915459632,$$$$,10003
Chiko,Szechuan,40.7319,-73.95422,,
The Wren,Bars,40.7263350655,-73.9920476876,$$,10012
Ursula BK,New Mexican Cuisine,40.672656,-73.954677,$$,11216
Fishmarket II,Malaysian,40.72835,-73.98204,,
Bacàn,Italian,40.715855693840986,-73.96414879999999,,
La Pecora Bianca,Italian,40.73959,-74.00775,,
Da Claudio,Italian,40.71087,-74.00753,$$,10038
Pilot,Cocktail Bars,40.693856933541646,-74.00308873784124,$$$,11201
Tsurutontan Udon Noodle Brasserie,Japanese,40.73678,-73.9910699,$$,10003
Coppelia,Cuban,40.7389111700125,-73.9999985153443,$$,10011
Parker & Quinn,American (New),40.752598878505694,-73.9850713153442,$$,10018
The Smith,American (New),40.74424,-73.98878,$$$,10010
Hakata Tonton,Japanese,40.749981,-73.985719,,
Bluestone Lane DUMBO Café,Coffee & Tea,40.70077577888819,-73.98836356287899,$$,11201
The Smith,American (New),40.755165,-73.967868,$$,10022
The Grey Dog - Union Square,Coffee & Tea,40.733828,-73.993052,$$,10003
Tutt  Heights,Middle Eastern,40.70021198326452,-73.99331599999907,$,11201
Hillstone Restaurant,Sushi Bars,40.758352,-73.969112,$$$,10022
House Of The Red Pearl,Chinese,40.70660163313178,-74.00266169999999,,
Tailfeather,Wine Bars,40.69415,-73.96089,$$,11205
Santa Fe BK,New Mexican Cuisine,40.718101199815685,-73.95677762208928,,
Mint Heights,Indian,40.699657772028765,-73.99217437260721,,
Esme,American (New),40.73322607409529,-73.95492695812946,$$,11222
Colonia Verde,Latin American,40.6897354125977,-73.970703125,$$,11205
Izakaya Juraku,Bars,40.7196796287355,-73.9887088537216,$$,10002
Mezcali,Tacos,40.70745,-74.00748,$$,10038
Sushi Lab,Japanese,40.758489034780425,-73.98320701370044,,
Dutch Freds,Cocktail Bars,40.760835,-73.987823,$$,10036
Cheli,Shanghainese,40.72925,-73.9886,,
Da Long Yi Hot Pot,Hot Pot,40.716557,-73.996583,$$$,10013
Hak Box,Dim Sum,40.714,-73.99439,$,10002
Mareluna,Italian,40.72686027756351,-74.00191202883569,,
Monsieur Vo,Vietnamese,40.72741,-73.98816,,
Suzume,Filipino,40.7131652,-73.9494479,$$,11211
Dim Sum Palace,Dim Sum,40.76015,-73.9893699,$$,10036
Big Tiny,Wine Bars,40.6834507,-73.992855,$$,11231
Silver Factory,Korean,40.709227,-73.958598,$$,11211
Beauty & Essex,American (New),40.720434786101286,-73.98686057623863,$$$,10002
Llama Inn,Peruvian,40.71672,-73.95051,$$$,11211
Clark's Restaurant,Diners,40.69740294105,-73.993250079407,$$,11201
Balaboosta,Mediterranean,40.73769,-74.00584,,
Blue Ribbon Brasserie - SoHo,American (Traditional),40.725456,-74.003027,$$$,10012
Al Badawi,Middle Eastern,40.69059,-73.99503,$$,11201
Dawn's ‘Til Dusk,Coffee & Tea,40.70336875110399,-73.99042176876897,,
Chef Katsu Brooklyn,Pop-Up Restaurants,40.686813,-73.966352,$$,11238
Valerie,American (New),40.756326,-73.981117,$$,10036
Top Thai Greenwich,Thai,40.729771,-73.999392,$$,10012
Mad for Chicken Brooklyn Heights,Chicken Wings,40.69519905751762,-73.99625069999999,,
The Mayfly,American (Traditional),40.72152,-73.98462,,
Good Thanks Cafe,Cafes,40.71972,-73.98952,$$,10002
Karasu,Japanese,40.68937279085807,-73.9732461,$$$,11217
Sama Street,Cocktail Bars,40.7328843,-73.9545232327229,$$,11222
Electric Lemon,American (New),40.754553,-74.002057,$$$,10001
Nabilas,Lebanese,40.68563884890456,-73.99459569999999,,
Tokuyamatcha & Onigirazu Bar,Coffee & Tea,40.72399,-73.9802,$,10009
Bunny,Turkish,40.68202,-73.94977,,
Soco,Cajun/Creole,40.693739699999334,-73.96449631779052,$$,11205
Galli,Italian,40.72161,-74.00127,$$,10013
Kiki's,Greek,40.7144971858255,-73.9918553931336,$$,10002
Namkeen,Chicken Shop,40.71285,-73.96248,$$,11249
A Pasta Bar,Italian,40.72229,-74.00403,$$$,10013
Breakroom,Burgers,40.7166907225542,-73.9999440120647,$$,10013
Locanda Verde,Italian,40.7198601300801,-74.010039072422,$$$,10013
Hey Thai,Thai,40.70738902413635,-74.00523698907823,,
Colonie,Breakfast & Brunch,40.6909,-73.9958,$$$,11201
Prime Meat Rokko,Japanese,40.76497010727244,-73.98807987570763,,
5ive Spice,Vietnamese,40.681442,-73.977241,$$,11217
Place des Fêtes,Wine Bars,40.68691,-73.96289,,
Boucherie Union Square,Steakhouses,40.73725824850519,-73.9882252705524,$$$,10003
Four Four South Village,Taiwanese,40.728920411124825,-73.9898209,$$,10003
Omusubi Gonbei,Japanese,40.750701,-73.976961,$,10017
Taiwan Pork Chop House,Taiwanese,40.71429,-73.99798,$,10013
Glin Thai Bistro,Thai,40.69315,-73.97328,,
Montesacro Pinseria Brooklyn,Italian,40.71338,-73.95136,$$,11211
The Good Fork Pub,Pubs,40.67599,-74.01432,$$,11231
Tenement,American (New),40.72142,-73.98778,,
Ozakaya,Izakaya,40.67807,-73.96851,,
Dudley's,Cafes,40.71798,-73.99042,$$,10002
Sam Sunny,Korean,40.74156,-73.97846,,
Piccola Cucina Uptown,Sicilian,40.763174,-73.969046,,
Lil Chef Mama,Thai,40.708453,-74.005321,$$,10038
Yi Ji Shi Mo Noodle Corp,Chinese,40.71824,-73.99583,$,10013
Hanoi House,Vietnamese,40.727066,-73.983505,$$,10009
Westville Chelsea,American (New),40.73956,-73.99918,$$,10011
Mels,Pizza,40.74303,-74.00779,,
Tiger Box,Korean,40.6963379,-73.972758,$,11205
Mom's Kitchen & Bar,Comfort Food,40.76247,-73.9901,$$,10019
Bar Camillo,Italian,40.68653,-73.9444,,
21 Greenpoint,American (New),40.72978,-73.95992,$$$,11222
Davelle,Japanese,40.71852,-73.98605,$$,10002
GunBae Tribeca,Korean,40.714683,-74.010223,$$,10007
Peter Luger,Steakhouses,40.709945,-73.962478,$$$$,11211
Leyla,Turkish,40.77882,-73.97834,,
Barrio Chino,Mexican,40.718022,-73.990026,$$,10002
Le Petit Monstre,Patisserie/Cake Shop,40.696311154904876,-73.96770130204715,$$,11205
ACRE,Breakfast & Brunch,40.72633,-73.95471,$$,11222
Barrio Chino,Mexican,40.718022,-73.990026,$$,10002
Le Petit Monstre,Patisserie/Cake Shop,40.696311154904876,-73.96770130204715,$$,11205
ACRE,Breakfast & Brunch,40.72633,-73.95471,$$,11222
ICHIRAN Midtown,Ramen,40.74839,-73.99062,$$,10001
LĒNA,French,40.719135,-73.991758,$$,10002
DokoDemo,Teppanyaki,40.72638,-73.98964,$,10003
Fong On,Chinese,40.71417,-73.9937,$,10002
Brooklyn BBQ,Barbeque,40.697978,-73.991777,,
Taqueria Ramirez,Mexican,40.727876136419724,-73.95699203025863,$$,11222
Noods n’ Chill,Thai,40.71194,-73.96121,$$,11211
Joseph Leonard,American (New),40.7336021670705,-74.001675412843,$$,10014
Koko’s ,Izakaya,40.71114001497747,-73.9483030367001,,
Popina,Southern,40.687361962701,-74.0014251909241,$$,11231
Maman,French,40.75446,-73.98554,,
Olmsted,American (New),40.67713,-73.96869,$$$,11238
Roberta's,Pizza,40.70493,-73.93399,$$,11206
Chote Miya,Indian,40.7034194804375,-73.9916073158383,,
BOM with the Wind,Cocktail Bars,40.68597,-73.9732,,
Rice & Miso,Japanese,40.6845436245203,-73.9837776124477,$$,11217
Khe-Yo,Laotian,40.716906,-74.008587,$$,10013
DunHuang Miss Noodles,Chinese,40.693868137768895,-73.9634565145772,,
Yakiniku Toraji,Barbeque,40.75105,-73.97278,,
Chez Ma Tante,American (New),40.7268966108951,-73.95740360609793,$$,11222
PMF Pardon My French,French,40.72473,-73.98115,$$,10009
Bohemien Bar,Cocktail Bars,40.691171,-73.99704,$$,11201
Yakitori Totto,Japanese,40.765375,-73.983114,$$,10019
Mao Mao,Thai,40.69583,-73.933508,$$,11221
Barn Joo 35,Korean,40.74964,-73.98582,$$,10001
3 Times,Dim Sum,40.73285,-73.99104,$$,10003
Kogane Ramen-Brooklyn Heights,Ramen,40.698605,-73.992668,$$,11201
Joe's Home of Soup Dumplings,Shanghainese,40.75723,-73.97702,$$,10017
ICHIRAN - Times Square,Ramen,40.7600737531204,-73.9833259411037,$$,10019
3 Times,Dim Sum,40.703438,-74.010705,$$,10004
High Street On Hudson,American (New),40.73888,-74.00574,$$,10014
Red Hook Lobster Pound,Seafood,40.6797687107191,-74.0103686973453,$$,11231
El Pingüino,Spanish,40.7298,-73.95978,,
